last_name, first_name,player_id,year,player_age,b_ab,b_total_pa,b_total_hits,b_single,b_double,b_triple,b_home_run,b_strikeout,b_walk,b_k_percent,b_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,woba,
Marte, Starling,516782,2021,33,467,526,145,103,27,3,12,99,43,18.8,8.2,.310,.458,.382,.840,.364,
Bumgarner, Madison,518516,2021,32,39,52,4,3,1,0,0,29,9,55.8,17.3,.103,.128,.269,.397,.217,
Culberson, Charlie,518586,2021,32,247,271,60,38,15,2,5,64,17,23.6,6.3,.243,.381,.292,.672,.292,
d'Arnaud, Travis,518595,2021,32,209,229,46,25,14,0,7,53,17,23.1,7.4,.220,.388,.284,.671,.291,
Donaldson, Josh,518626,2021,36,457,543,113,61,26,0,26,114,74,21.0,13.6,.247,.475,.352,.827,.353,
Freeman, Freddie,518692,2021,32,600,695,180,122,25,2,31,107,85,15.4,12.2,.300,.503,.393,.896,.379,
Grandal, Yasmani,518735,2021,33,279,375,67,35,9,0,23,82,87,21.9,23.2,.240,.520,.419,.938,.403,
Heyward, Jason,518792,2021,32,323,353,69,44,15,2,8,68,27,19.3,7.6,.214,.347,.280,.627,.275,
Kelly, Merrill,518876,2021,33,47,58,3,2,1,0,0,27,4,46.6,6.9,.064,.085,.121,.206,.113,
LeMahieu, DJ,518934,2021,33,597,679,160,125,24,1,10,94,73,13.8,10.8,.268,.362,.349,.711,.315,
Moreland, Mitch,519048,2021,36,229,252,52,30,11,1,10,58,18,23.0,7.1,.227,.415,.286,.701,.300,
Moustakas, Mike,519058,2021,33,183,206,38,20,12,0,6,46,18,22.3,8.7,.208,.372,.282,.653,.284,
Rizzo, Anthony,519203,2021,32,496,576,123,75,23,3,22,87,52,15.1,9.0,.248,.440,.344,.783,.339,
Romine, Austin,519222,2021,33,60,62,13,10,2,0,1,22,2,35.5,3.2,.217,.300,.242,.542,.237,
Sogard, Eric,519299,2021,35,169,180,42,34,6,1,1,30,9,16.7,5.0,.249,.314,.283,.597,.259,
Stanton, Giancarlo,519317,2021,32,510,579,139,85,19,0,35,157,63,27.1,10.9,.273,.516,.354,.870,.370,
Vogt, Stephen,519390,2021,37,210,238,41,27,6,1,7,56,26,23.5,10.9,.195,.333,.282,.615,.270,
Galvis, Freddy,520471,2021,32,356,394,86,56,15,1,14,77,27,19.5,6.9,.242,.407,.299,.707,.305,
Perez, Salvador,521692,2021,31,620,665,169,97,24,0,48,170,28,25.6,4.2,.273,.544,.316,.859,.359,
Flores, Wilmer,527038,2021,30,389,436,102,67,16,1,18,56,41,12.8,9.4,.262,.447,.335,.782,.337,
Garcia, Avisail,541645,2021,30,461,515,121,74,18,0,29,121,38,23.5,7.4,.262,.490,.330,.820,.346,
Inciarte, Ender,542255,2021,31,79,89,17,13,2,0,2,22,7,24.7,7.9,.215,.316,.270,.586,.262,
Ozuna, Marcell,542303,2021,31,188,208,40,27,6,0,7,46,19,22.1,9.1,.213,.356,.288,.645,.284,
Villar, Jonathan,542340,2021,30,454,505,113,75,18,2,18,132,46,26.1,9.1,.249,.416,.321,.737,.320,
Ortega, Rafael,542364,2021,30,296,330,86,59,14,2,11,70,30,21.2,9.1,.291,.463,.358,.820,.355,
Santana, Danny,542454,2021,31,116,127,21,13,2,1,5,30,10,23.6,7.9,.181,.345,.252,.597,.261,
Aguilar, Jesus,542583,2021,31,449,510,117,72,23,0,22,93,46,18.2,9.0,.261,.459,.325,.784,.334,
Berti, Jon,542932,2021,31,233,271,49,34,10,1,4,61,32,22.5,11.8,.210,.313,.310,.623,.282,
Crawford, Brandon,543063,2021,34,483,549,144,87,30,3,24,105,56,19.1,10.2,.298,.522,.373,.895,.377,
Cron, C.J.,543068,2021,31,470,547,132,72,31,1,28,117,60,21.4,11.0,.281,.530,.375,.905,.383,
DeSclafani, Anthony,543101,2021,31,51,62,2,1,1,0,0,33,4,53.2,6.5,.039,.059,.097,.156,.089,
Dickerson, Alex,543105,2021,31,283,312,66,41,10,2,13,76,23,24.4,7.4,.233,.420,.304,.725,.313,
Gomes, Yan,543228,2021,34,349,375,88,58,15,1,14,78,19,20.8,5.1,.252,.421,.301,.723,.308,
Grossman, Robbie,543257,2021,32,557,671,133,84,23,3,23,155,98,23.1,14.6,.239,.415,.356,.771,.337,
Harrison, Josh,543281,2021,34,505,558,141,98,33,2,8,75,31,13.4,5.6,.279,.400,.341,.741,.325,
Hendricks, Kyle,543294,2021,32,52,61,6,5,1,0,0,26,2,42.6,3.3,.115,.135,.131,.266,.130,
Hicks, Aaron,543305,2021,32,108,126,21,14,3,0,4,30,14,23.8,11.1,.194,.333,.294,.627,.279,
Higashioka, Kyle,543309,2021,31,193,211,35,15,10,0,10,59,17,28.0,8.1,.181,.389,.246,.635,.272,
Hosmer, Eric,543333,2021,32,509,565,137,97,28,0,12,99,48,17.5,8.5,.269,.395,.336,.731,.319,
McCann, James,543510,2021,31,375,412,87,64,12,1,10,115,32,27.9,7.8,.232,.349,.294,.643,.281,
Miller, Brad,543543,2021,32,331,377,75,43,9,3,20,112,45,29.7,11.9,.227,.453,.321,.774,.331,
Nola, Austin,543592,2021,32,173,194,47,33,12,0,2,19,14,9.8,7.2,.272,.376,.340,.716,.316,
Rendon, Anthony,543685,2021,31,217,249,52,33,13,0,6,41,29,16.5,11.6,.240,.382,.329,.712,.310,
Semien, Marcus,543760,2021,31,652,724,173,87,39,2,45,146,66,20.2,9.1,.265,.538,.334,.873,.368,
Shaw, Travis,543768,2021,31,220,250,44,24,11,0,9,68,24,27.2,9.6,.200,.373,.284,.657,.289,
Springer III, George,543807,2021,32,299,342,79,37,19,1,22,79,37,23.1,10.8,.264,.555,.351,.906,.381,
Vazquez, Christian,543877,2021,31,458,498,118,88,23,1,6,84,33,16.9,6.6,.258,.352,.307,.659,.289,
Wong, Kolten,543939,2021,31,445,492,121,73,32,2,14,83,31,16.9,6.3,.272,.447,.335,.783,.337,
